"Patient_ID","Age","Gender","Year","Genetic_Risk","Air_Pollution","Alcohol_Use","Smoking","Obesity_Level","Cancer_Type","Cancer_Stage","Treatment_Cost_USD","Survival_Years","Target_Severity_Score","Gender_n","Stage_n","City","Country","diagnostico","Dieta_rica_en_grasas_animales","Sedentarismo","Diabetes_tipo_2","Antecedentes_Familiares","Componente_Hereditario","Sindromes_Predisponentes","Enfermedad_Inflamatoria_Intestinal","FOBT_Resultado_n","FOBT_Resultado..Sangre.en.heces.","CEA_Level_ng_mL..Marcador.Tumoral.","nombre","apellido1","apellido2","altura_cm","peso_kg","dni","nuss"
"PT0002817",66,"Female",2023,7.4,0.1,6.7,6,0.1,"Colon","Stage IV",14906.73,5.5,5.41,1,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",18.7,"Carmen","Lopez","Perez",195.1,63.1,"16782718D","086361022418"
"PT0002820",27,"Male",2016,3.8,9.3,5.3,8.5,2.6,"Colon","Stage IV",44092.42,1.6,6.03,0,4,"Barcelona","Spain",1,0,1,0,0,0,1,0,1,"Positive",11.52,"Luis","Lopez","Sanchez",165.3,94,"18609637S","082974283582"
"PT0002822",49,"Other",2017,8.1,4.1,4.4,5.9,0.5,"Colon","Stage IV",72686.94,3.5,4.67,2,4,"Barcelona","Spain",1,1,1,1,1,0,0,0,0,"Negative",5.12,"Maria","Gomez","Lopez",178.5,45.5,"47298898L","087866721082"
"PT0002839",85,"Female",2020,3.7,0.1,7.1,7.3,6.2,"Colon","Stage 0",93899.37,4.7,4.02,1,0,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",12.71,"Maria","Martinez","Sanchez",187.3,63.4,"19755320E","084797334524"
"PT0002865",50,"Other",2015,7.1,5.4,4.3,0.9,1.6,"Colon","Stage IV",86807.54,5.4,3.48,2,4,"Barcelona","Spain",0,0,0,0,1,0,0,0,0,"Negative",2.2,"Elena","Garcia","Gomez",145.3,83.1,"51914622B","089576026083"
"PT0002872",72,"Male",2024,1.9,5.1,4.8,2.5,0.5,"Colon","Stage IV",26688.06,2.3,3.88,0,4,"Barcelona","Spain",0,1,1,0,0,0,0,0,0,"Negative",2.44,"Javier","Sanchez","Martinez",192.8,74.8,"32425255Q","085514315478"
"PT0002882",38,"Other",2021,3.3,9.2,2.1,4.7,2.4,"Colon","Stage II",11786.18,1,5.3,2,2,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",4.34,"Lucia","Sanchez","Lopez",140.5,65.8,"40866081A","086029566748"
"PT0002890",29,"Male",2017,4.1,3.7,7.6,5,0.8,"Colon","Stage I",36852.8,7.6,4.86,0,1,"Barcelona","Spain",1,1,0,0,1,0,0,0,0,"Negative",1.57,"Juan","Lopez","Perez",184.6,82.1,"93007579H","081849841293"
"PT0002891",73,"Male",2018,6.6,6.3,2.2,3.8,8,"Colon","Stage IV",70577.09,4.7,4.74,0,4,"Barcelona","Spain",1,0,0,1,0,0,0,0,1,"Positive",5.2,"Luis","Lopez","Garcia",199.5,65.4,"40596594F","086530209212"
"PT0002893",39,"Male",2018,4,1.3,4.4,0.2,3.1,"Colon","Stage 0",71499.27,1.2,2.58,0,0,"Barcelona","Spain",0,0,1,0,0,0,0,0,0,"Negative",3.74,"Javier","Perez","Lopez",177.4,78.7,"98157177P","083430689501"
"PT0002896",69,"Other",2023,1.9,7,2.6,8.4,8.6,"Colon","Stage I",12990.11,6.7,6.1,2,1,"Barcelona","Spain",1,1,1,1,0,0,0,0,1,"Positive",14.07,"Elena","Perez","Garcia",164.1,72.1,"12548297A","086581003361"
"PT0002900",41,"Other",2019,1.7,8.4,0.4,6.4,9.5,"Colon","Stage III",22479.57,7.5,5.44,2,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",5.28,"Elena","Sanchez","Sanchez",170.1,80.6,"21219019R","082263954707"
"PT0002908",53,"Other",2023,6.5,6.1,7.6,6.9,5.6,"Colon","Stage I",54015.48,2.7,6.21,2,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",9.03,"Laura","Martinez","Martinez",139.2,57.5,"76723626L","082199124654"
"PT0002914",69,"Male",2019,1.8,8.9,2.6,8.6,6.3,"Colon","Stage II",80100.37,5.9,4.83,0,2,"Barcelona","Spain",1,1,0,0,1,0,0,0,1,"Positive",10.59,"Carlos","Gomez","Lopez",157.5,40.1,"38590270L","086012980152"
"PT0002932",70,"Male",2022,6,0.9,2.8,3.3,2.7,"Colon","Stage 0",59559.43,8,3.49,0,0,"Barcelona","Spain",0,1,0,0,0,0,0,0,0,"Negative",0.68,"Juan","Lopez","Garcia",179.7,60.2,"81688497H","089473334005"
"PT0002938",56,"Male",2015,0.2,8.7,6.8,4.2,3.5,"Colon","Stage II",66223.41,2.9,4.23,0,2,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",3.5,"Juan","Martinez","Gomez",178.4,39.4,"41661846Z","084001660092"
"PT0002953",36,"Male",2020,4.2,2.8,8.8,6.1,7.8,"Colon","Stage III",38101.02,5.9,5.82,0,3,"Barcelona","Spain",1,0,0,0,1,0,0,0,1,"Positive",8.42,"Pedro","Sanchez","Lopez",166.3,48.1,"48249209Q","084659399009"
"PT0002964",60,"Female",2024,5.2,2.9,2.9,9.2,8.4,"Colon","Stage I",83855.52,3.1,4.91,1,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",4.23,"Laura","Perez","Sanchez",169.9,88.5,"16278835X","087574699047"
"PT0002975",75,"Female",2015,4.2,5,8.9,7.2,3.3,"Colon","Stage III",76888.57,7.2,5.16,1,3,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",2.32,"Carmen","Perez","Martinez",171.5,32.7,"37916523B","087078338630"
"PT0002978",28,"Other",2023,4.9,1.6,0.1,9.4,2.7,"Colon","Stage IV",62694.99,6.8,4.13,2,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",14.58,"Laura","Garcia","Sanchez",158.9,64.3,"45324645V","085855730523"
"PT0002990",73,"Other",2016,8.7,4.4,0.1,5.9,5.9,"Colon","Stage III",92708.42,2.1,4.33,2,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",6.1,"Lucia","Martinez","Sanchez",151.1,53.9,"95558500D","088817128803"
"PT0002997",29,"Male",2018,3.9,7.5,4.3,4.8,7.5,"Colon","Stage IV",43770.25,1.5,5.38,0,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",10.4,"Pedro","Martinez","Lopez",176.2,65.6,"20242693W","084199633658"
"PT0003001",72,"Male",2016,8.6,7.2,0.5,5.8,1.4,"Colon","Stage II",57146.82,5.8,5.03,0,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",9.6,"Luis","Martinez","Gomez",164.1,92,"56294089W","082644632318"
"PT0003008",29,"Other",2016,9,4.5,0.1,6.3,8.7,"Colon","Stage I",11029.5,0.5,6.4,2,1,"Barcelona","Spain",1,0,0,0,0,1,0,0,1,"Positive",3.59,"Ana","Sanchez","Sanchez",182.6,99.6,"85425331L","083181435671"
"PT0003026",72,"Female",2017,2.3,8.2,9.6,6,2.6,"Colon","Stage I",99459.24,3,4.6,1,1,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",9.5,"Carmen","Sanchez","Martinez",168.9,84.2,"25392385V","084809886526"
"PT0003030",53,"Other",2022,3,8.4,8.1,2.1,7.4,"Colon","Stage III",66650.24,6.2,4.9,2,3,"Barcelona","Spain",1,1,0,0,0,0,0,0,1,"Positive",9.77,"Elena","Perez","Perez",168.9,64.7,"25813255X","083028963088"
"PT0003031",56,"Female",2018,2.6,5.7,6.2,4.2,1.4,"Colon","Stage IV",81635.65,2.9,3.65,1,4,"Barcelona","Spain",0,0,1,0,0,0,0,0,0,"Negative",3.08,"Elena","Perez","Perez",161.3,69,"88435620E","084655258826"
"PT0003033",26,"Female",2021,4,7.7,2.6,5.7,9.4,"Colon","Stage IV",24431.3,2.1,5.94,1,4,"Barcelona","Spain",1,0,0,1,0,0,0,0,1,"Positive",8.59,"Maria","Sanchez","Garcia",157.8,76.1,"79386602D","088249437212"
"PT0003040",31,"Other",2015,6.7,2,4.7,5.6,0.3,"Colon","Stage III",48550.65,5.9,4.52,2,3,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",10.6,"Maria","Martinez","Sanchez",150.5,74,"69998104L","086485901329"
"PT0003051",48,"Other",2018,4.9,2.7,9.5,8.8,8.4,"Colon","Stage IV",47470.8,0.5,6.46,2,4,"Barcelona","Spain",1,0,1,1,1,0,0,0,1,"Positive",10.3,"Ana","Perez","Garcia",176.1,62.4,"63760023K","086419573335"
"PT0003056",28,"Male",2019,4.7,5.3,2,5,5.6,"Colon","Stage I",10230.31,5.8,5.39,0,1,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",10.95,"Carlos","Perez","Martinez",170.2,77.3,"73511934R","089276978925"
"PT0003058",75,"Other",2019,2.4,5.7,8.6,2.5,2,"Colon","Stage II",41551.33,6.5,4.49,2,2,"Barcelona","Spain",1,0,0,1,0,0,0,0,1,"Positive",3.64,"Lucia","Garcia","Perez",148.1,76.7,"77529106Q","082895810784"
"PT0003059",69,"Female",2021,4.7,8.8,0.6,6.9,6.6,"Colon","Stage 0",72321.21,8.5,4.94,1,0,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",1.53,"Maria","Perez","Sanchez",178.1,64.8,"26647133T","084026081965"
"PT0003062",47,"Male",2022,1,5.3,2,2.4,9.8,"Colon","Stage I",65166.78,5.6,3.45,0,1,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",2.01,"Luis","Garcia","Perez",166.1,76.5,"60516682W","081176667155"
"PT0003066",76,"Other",2019,2.7,8.2,5.8,7.2,1.6,"Colon","Stage IV",40155.51,2.8,5.44,2,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",8.07,"Maria","Lopez","Lopez",175.2,72.2,"49468479X","082462221895"
"PT0003067",45,"Other",2016,6.5,9.3,6.2,9.7,9.9,"Colon","Stage IV",49641.05,5.6,7.56,2,4,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",11.64,"Elena","Gomez","Garcia",166.7,78.8,"75604694Z","081900844196"
"PT0003081",76,"Male",2024,1.8,6.7,8.5,9.1,6.8,"Colon","Stage III",72536.75,8.4,5.69,0,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",16.36,"Pedro","Garcia","Martinez",144.8,82,"23847439G","085227952886"
"PT0003091",57,"Female",2022,8.1,7,8.3,9.1,4.7,"Colon","Stage III",20050.84,3.3,7.8,1,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",5.47,"Maria","Perez","Garcia",195.1,66,"94705140H","082931651274"
"PT0003104",22,"Female",2019,2.7,6.3,9.8,6.6,2.3,"Colon","Stage II",19874.73,4.2,6.11,1,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",13.18,"Laura","Martinez","Martinez",162.8,51.1,"73422695W","084166122178"
"PT0003107",63,"Female",2022,0.7,2.6,1,5.7,7.4,"Colon","Stage III",83602.03,5.1,2.89,1,3,"Barcelona","Spain",0,1,0,0,0,0,0,1,0,"Negative",0.46,"Maria","Lopez","Garcia",179.5,48.4,"73007480Y","082158734561"
"PT0003108",52,"Female",2016,4.2,3.8,3.5,0,8.3,"Colon","Stage IV",25902.3,3.1,4.25,1,4,"Barcelona","Spain",1,0,0,0,1,0,0,0,1,"Positive",6,"Carmen","Sanchez","Garcia",153.8,56.3,"45499052S","085613033287"
"PT0003130",36,"Male",2020,0.6,5.2,0.3,1.5,7.2,"Colon","Stage III",62155.63,1,2.72,0,3,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",2.29,"David","Sanchez","Garcia",186.5,92.5,"79210794J","087320773760"
"PT0003154",86,"Other",2024,1.8,5.7,8.4,2,7.7,"Colon","Stage I",97244.86,6.4,3.7,2,1,"Barcelona","Spain",0,1,0,0,0,0,0,0,0,"Negative",1.3,"Carmen","Gomez","Gomez",145.6,67.4,"32244628P","088102621446"
"PT0003158",28,"Female",2021,3,2.2,6.6,3.9,7.7,"Colon","Stage I",96164.49,1.5,3.55,1,1,"Barcelona","Spain",0,0,1,0,1,0,0,0,0,"Negative",1.98,"Ana","Perez","Gomez",160.7,86.8,"73367145C","087111486661"
"PT0003174",77,"Other",2022,4.4,9.8,5.3,0.4,0.5,"Colon","Stage I",54276.87,5.2,4.19,2,1,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",14.01,"Laura","Sanchez","Garcia",158.5,74,"32254551H","082257376487"
"PT0003180",24,"Other",2018,9.1,6.4,7.3,7.4,9.8,"Colon","Stage 0",22790.71,7.6,7.88,2,0,"Barcelona","Spain",1,1,1,1,0,0,0,0,1,"Positive",6.17,"Ana","Garcia","Perez",163,68.9,"17437573P","082816421035"
"PT0003181",84,"Male",2024,2.3,4.7,5.1,3.3,9.8,"Colon","Stage I",94358.98,2.9,3.68,0,1,"Barcelona","Spain",0,1,0,0,0,0,0,0,0,"Negative",2.1,"Luis","Martinez","Perez",160.6,50.6,"74917372R","083977433536"
"PT0003185",87,"Other",2017,0.5,7.3,1.4,0.1,2.1,"Colon","Stage I",9863.34,1.1,3.44,2,1,"Barcelona","Spain",0,1,0,0,0,0,0,0,0,"Negative",3.41,"Lucia","Lopez","Garcia",163.5,83.3,"74915850C","088195519861"
"PT0003188",75,"Other",2015,7.1,8.1,7.3,7.2,8.9,"Colon","Stage I",14975.37,5.7,7.76,2,1,"Barcelona","Spain",1,1,1,1,0,0,0,0,1,"Positive",2.37,"Laura","Garcia","Sanchez",153,46,"38895463W","086200940587"
"PT0003194",66,"Other",2024,9.2,1.1,1.5,1,8.3,"Colon","Stage I",37315.27,9.3,4.51,2,1,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",8.11,"Maria","Garcia","Martinez",143.4,38,"87447567A","084917973727"
"PT0003201",34,"Female",2023,6.7,5.6,9.4,3.7,3.5,"Colon","Stage IV",33227,7.1,6.02,1,4,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",5.32,"Elena","Garcia","Martinez",174.6,78,"15051959T","089809063937"
"PT0003207",87,"Male",2024,6.6,6.8,2.5,0.2,7.9,"Colon","Stage I",70998.95,5.1,4.13,0,1,"Barcelona","Spain",1,0,0,1,1,0,0,0,1,"Positive",13.45,"Luis","Lopez","Lopez",170.9,95.7,"25065929T","087764878762"
"PT0003210",20,"Other",2015,1.7,0.1,6,7.1,5,"Colon","Stage II",79749.79,1.3,3.58,2,2,"Barcelona","Spain",0,0,0,0,1,0,0,0,0,"Negative",3.87,"Ana","Martinez","Sanchez",161.4,75.1,"17698363R","088534919427"
"PT0003211",86,"Other",2023,2.3,3,7.8,7.7,5.7,"Colon","Stage II",90527,7,4.38,2,2,"Barcelona","Spain",1,1,1,1,0,1,0,0,1,"Positive",10.32,"Laura","Gomez","Perez",154.1,72.3,"36227630P","089864040608"
"PT0003219",43,"Male",2020,5.6,4.5,2.7,9.3,0.5,"Colon","Stage IV",83267.33,5.3,4.44,0,4,"Barcelona","Spain",1,1,0,0,1,0,0,0,1,"Positive",7.99,"Pedro","Martinez","Garcia",191.6,96.1,"85441515B","085018871410"
"PT0003226",42,"Other",2019,8.3,9.9,0.3,1.5,1.7,"Colon","Stage I",40639.33,3.5,4.85,2,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",4.4,"Ana","Perez","Sanchez",171,59.9,"26774836F","088101539187"
"PT0003235",76,"Female",2021,5.9,6.3,4,7,7.4,"Colon","Stage II",19398.21,9.8,6.48,1,2,"Barcelona","Spain",1,1,1,1,0,0,0,0,1,"Positive",0.1,"Ana","Lopez","Perez",160.7,38.7,"53295975F","085661065061"
"PT0003261",41,"Male",2024,6.3,2.7,7.3,3.9,4,"Colon","Stage 0",90441.65,3.8,4.13,0,0,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",5.21,"Javier","Perez","Lopez",113.2,44.1,"32923967L","088258069707"
"PT0003271",28,"Other",2022,6.8,0.7,2.6,4.2,6.9,"Colon","Stage IV",37714.01,9.8,4.63,2,4,"Barcelona","Spain",1,0,0,0,1,0,0,0,0,"Negative",9.89,"Ana","Lopez","Perez",139.8,37.3,"75651550L","089994166916"
"PT0003272",30,"Male",2020,1.3,0,4.9,3.9,0.2,"Colon","Stage II",69905.71,1.2,2.4,0,2,"Barcelona","Spain",0,1,0,0,0,0,0,0,0,"Negative",2.62,"Pedro","Martinez","Perez",200.4,73,"43316416X","089578864749"
"PT0003280",84,"Other",2018,5,5.2,1.8,8.6,8.5,"Colon","Stage 0",40092.47,4.8,5.82,2,0,"Barcelona","Spain",1,0,0,1,0,0,0,0,1,"Positive",14.19,"Maria","Sanchez","Lopez",174.8,64.6,"21428161G","088123786745"
"PT0003286",58,"Other",2021,5.9,9.4,7.8,1.2,7.1,"Colon","Stage II",86356.37,0.4,4.98,2,2,"Barcelona","Spain",1,1,1,0,1,0,0,0,1,"Positive",8.95,"Lucia","Gomez","Garcia",166.7,71.1,"55375409B","089513306792"
"PT0003287",89,"Other",2021,3.9,3.2,2.1,7.2,9.5,"Colon","Stage IV",22684.23,9.6,5.51,2,4,"Barcelona","Spain",1,1,1,0,0,0,0,0,0,"Negative",11.18,"Ana","Garcia","Lopez",164.4,59.9,"23161030F","087168972194"
"PT0003289",42,"Other",2022,9.3,2.5,4.2,0.2,1.8,"Colon","Stage II",61442.6,6.1,3.86,2,2,"Barcelona","Spain",0,1,0,0,0,0,0,0,0,"Negative",1.92,"Carmen","Garcia","Sanchez",162.7,56.1,"55884458R","085189348506"
"PT0003296",25,"Other",2020,0.5,7.2,1,4.2,8.2,"Colon","Stage I",43424.51,2.8,4.12,2,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",4.57,"Lucia","Sanchez","Perez",186,78.2,"85979530X","083433178357"
"PT0003299",82,"Male",2021,6.7,5.5,3.7,4.2,6.7,"Colon","Stage II",84409.09,2.5,4.54,0,2,"Barcelona","Spain",1,1,0,0,0,0,0,0,1,"Positive",7.37,"Juan","Garcia","Gomez",169.8,59.6,"62257453H","087980387302"
"PT0003303",83,"Male",2019,5.7,6.1,3.7,1.5,3.1,"Colon","Stage IV",94360.56,5.8,3.33,0,4,"Barcelona","Spain",0,1,1,0,0,0,0,0,0,"Negative",1.25,"Pedro","Lopez","Lopez",176.9,54.1,"45912157V","088007771816"
"PT0003306",34,"Female",2024,9.9,2.6,1.8,2.1,2.9,"Colon","Stage I",34572.95,5,4.66,1,1,"Barcelona","Spain",1,1,0,0,0,0,0,0,1,"Positive",2.32,"Ana","Lopez","Martinez",172.9,61.1,"42987006Y","087492295830"
"PT0003310",62,"Male",2022,8.2,9.7,8.6,3.7,9.8,"Colon","Stage 0",65177.62,3.5,6.8,0,0,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",9.95,"Luis","Lopez","Lopez",196.4,86.4,"11632406H","081698657501"
"PT0003346",24,"Male",2017,1.8,5.9,7.4,1.5,2,"Colon","Stage 0",15810.15,9.9,4.54,0,0,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",13.24,"Juan","Martinez","Sanchez",172.7,87,"15258978L","086094656980"
"PT0003360",88,"Other",2017,3.4,1.9,5.3,7.6,9.9,"Colon","Stage I",28436.42,6.8,5.7,2,1,"Barcelona","Spain",1,1,0,1,0,0,0,0,1,"Positive",10.82,"Laura","Martinez","Martinez",153.8,54.8,"82055589F","083648155922"
"PT0003366",32,"Other",2018,9.6,7.7,6.5,4.4,5.9,"Colon","Stage III",29972.55,1.3,6.92,2,3,"Barcelona","Spain",1,1,1,0,1,0,0,0,1,"Positive",9.6,"Ana","Garcia","Martinez",164.9,77.9,"89011429A","087401052071"
"PT0003371",73,"Other",2019,7.8,7.9,7.5,8.7,4.8,"Colon","Stage III",82810.54,0.9,6.43,2,3,"Barcelona","Spain",1,1,1,0,1,0,0,0,1,"Positive",2.73,"Maria","Martinez","Sanchez",164.4,68.9,"17923693T","086781898849"
"PT0003377",27,"Male",2021,2.2,4.9,5.5,6,5.8,"Colon","Stage I",42899.82,7.2,4.92,0,1,"Barcelona","Spain",1,0,0,0,1,0,0,0,0,"Negative",8.07,"Juan","Perez","Perez",170.2,31.9,"27873835C","083288993820"
"PT0003389",60,"Female",2018,1,6.5,6.1,5.9,6.5,"Colon","Stage II",60147.93,5.8,4.72,1,2,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",3.22,"Ana","Sanchez","Martinez",159.2,71.4,"72862310N","085242948884"
"PT0003391",68,"Female",2023,1.7,2.6,3.2,4.1,9.9,"Colon","Stage III",90297.5,7.8,3.21,1,3,"Barcelona","Spain",0,1,1,0,0,0,0,0,0,"Negative",3.81,"Carmen","Sanchez","Perez",173.5,87.3,"11963193L","082329942086"
"PT0003392",22,"Other",2020,3.8,8.1,0.8,7.7,2.9,"Colon","Stage II",43044.97,1.5,5.06,2,2,"Barcelona","Spain",1,0,0,0,0,0,0,0,0,"Negative",8.62,"Carmen","Lopez","Martinez",160.8,85.9,"94350549H","082423235777"
"PT0003407",39,"Other",2017,1.7,8.3,9.6,3,6.2,"Colon","Stage III",83104.68,3.2,4.58,2,3,"Barcelona","Spain",1,0,1,0,1,1,0,0,1,"Positive",5.42,"Ana","Garcia","Gomez",159.6,40.7,"56622353X","085237613480"
"PT0003413",41,"Female",2017,2.4,9.6,2.7,6.2,1.4,"Colon","Stage III",40831.14,6.7,4.89,1,3,"Barcelona","Spain",1,0,0,0,0,0,0,0,1,"Positive",13.71,"Lucia","Martinez","Garcia",155.8,73.3,"84993299L","087887744319"
"PT0003415",25,"Female",2024,8.4,6.1,9.6,0.6,0.2,"Colon","Stage I",22927.07,2.5,5.72,1,1,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",2.95,"Elena","Sanchez","Gomez",180.8,54.1,"78471325V","085326084958"
"PT0003432",67,"Female",2024,5.5,6.6,5.1,8.2,3.5,"Colon","Stage II",13299.41,8.1,6.58,1,2,"Barcelona","Spain",1,1,0,0,1,0,0,0,0,"Negative",18.19,"Maria","Lopez","Gomez",163.1,64.9,"33327902M","081879170053"
"PT0003437",47,"Other",2016,7.3,4.2,5.6,1.2,4.8,"Colon","Stage I",12133.86,1.7,5.41,2,1,"Barcelona","Spain",1,0,1,0,1,0,1,0,1,"Positive",11.38,"Lucia","Martinez","Perez",125,92.9,"74232390M","083018021892"
"PT0003442",68,"Other",2021,9,5.2,1.7,5.4,0.3,"Colon","Stage I",63272.09,6.5,4.68,2,1,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",11.81,"Ana","Lopez","Perez",147.8,73.4,"98267678V","086298327274"
"PT0003460",47,"Male",2024,2.7,7.7,2.5,6.4,5.2,"Colon","Stage I",59686.23,7.2,4.68,0,1,"Barcelona","Spain",1,1,1,0,0,0,0,1,1,"Positive",8.83,"Carlos","Garcia","Gomez",161.8,72.3,"33180000Q","088729716342"
"PT0003462",23,"Other",2017,8.5,2.9,9.1,1.3,2.9,"Colon","Stage 0",19002.86,6.9,5.67,2,0,"Barcelona","Spain",1,0,1,0,0,0,0,0,0,"Negative",2.06,"Elena","Sanchez","Sanchez",160.9,70.2,"64195885X","087826276530"
"PT0003477",88,"Female",2021,6.2,5.4,4.7,6.3,8.4,"Colon","Stage 0",99107.66,1.2,4.87,1,0,"Barcelona","Spain",1,1,0,0,1,0,0,0,1,"Positive",5.75,"Elena","Martinez","Perez",167.6,83.4,"85362271W","087917199579"
"PT0003483",69,"Male",2023,9.9,4.5,2.5,2.9,0.7,"Colon","Stage II",40128.69,3.5,4.88,0,2,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",7.07,"Luis","Martinez","Perez",182.7,72.3,"16863105B","085670711006"
"PT0003490",29,"Female",2022,0.7,8.7,1.4,8.1,2.3,"Colon","Stage IV",65982.56,0.9,4.19,1,4,"Barcelona","Spain",1,0,0,1,1,0,0,0,0,"Negative",7.7,"Carmen","Lopez","Sanchez",144,71.7,"36124160S","081216840010"
"PT0003505",73,"Other",2022,6.4,2.8,4.4,8.8,9.1,"Colon","Stage III",66663.95,9.4,5.7,2,3,"Barcelona","Spain",1,1,1,0,0,1,0,0,1,"Positive",5.54,"Lucia","Perez","Sanchez",174.8,52.4,"69511093X","088285211418"
"PT0003522",76,"Male",2017,0.6,5.4,9.2,7.1,8.4,"Colon","Stage I",39764.35,3,5.77,0,1,"Barcelona","Spain",1,0,1,1,0,0,0,0,1,"Positive",14.95,"David","Lopez","Gomez",162.7,105.8,"74266655T","083935092026"
"PT0003532",20,"Male",2018,1.6,0.9,5.5,4.9,9.8,"Colon","Stage 0",18706.06,0.1,4.87,0,0,"Barcelona","Spain",1,0,1,0,1,0,0,0,1,"Positive",4.54,"Luis","Martinez","Sanchez",190.8,68.3,"65567171J","085868347896"
"PT0003533",57,"Male",2023,9.4,3.9,3.6,9.9,9.1,"Colon","Stage III",54001.98,10,6.81,0,3,"Barcelona","Spain",1,0,1,1,1,0,0,0,1,"Positive",7.22,"Juan","Perez","Perez",138.3,90.7,"25782829J","081122000985"
"PT0003540",87,"Other",2019,9.1,8.7,5.5,9.5,9.7,"Colon","Stage IV",21669.74,3.2,8.39,2,4,"Barcelona","Spain",1,1,1,0,0,0,0,0,1,"Positive",4.42,"Lucia","Martinez","Sanchez",179.5,93,"97014433L","083108224418"
"PT0003546",46,"Female",2016,6.4,5.6,3.4,8.3,8.6,"Colon","Stage IV",13869.38,3,6.87,1,4,"Barcelona","Spain",1,1,1,1,0,1,0,0,1,"Positive",7.64,"Elena","Martinez","Martinez",184.4,85.8,"88438638G","087535429306"
"PT0003561",68,"Other",2016,8.8,5.8,7.5,1.8,9.8,"Colon","Stage III",9214.7,8.9,6.91,2,3,"Barcelona","Spain",1,1,1,1,1,0,0,0,0,"Negative",0.59,"Lucia","Sanchez","Martinez",152,67.1,"84761735L","089208017480"
"PT0003569",41,"Female",2022,4.8,1.2,1.8,7.1,1.7,"Colon","Stage IV",75459.37,8.7,3.49,1,4,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",4.04,"Laura","Perez","Gomez",163.1,77.7,"29131304X","085475323300"
"PT0003587",41,"Female",2020,9.3,2.5,7.1,7.9,3.7,"Colon","Stage III",98524.16,2.5,5.28,1,3,"Barcelona","Spain",1,0,0,1,1,0,0,0,1,"Positive",12.62,"Ana","Gomez","Sanchez",164,72.4,"26413183Y","086964119009"
"PT0003591",61,"Other",2020,8.1,4.2,8.6,7.3,5.2,"Colon","Stage III",99376.86,7,5.53,2,3,"Barcelona","Spain",1,0,1,0,0,0,0,0,1,"Positive",8.83,"Lucia","Lopez","Lopez",170.2,85,"25132439V","086439089634"
"PT0003608",86,"Female",2019,9,8.8,6.2,1.5,0.8,"Colon","Stage IV",19308.84,6.5,6.04,1,4,"Barcelona","Spain",1,0,1,1,1,0,0,0,0,"Negative",2.38,"Maria","Martinez","Lopez",173.4,40.4,"71394857M","081979326896"
"PT0003614",32,"Other",2022,5,3.2,5.4,6.7,8.6,"Colon","Stage I",49277.87,9.5,5.5,2,1,"Barcelona","Spain",1,1,0,0,1,0,0,0,1,"Positive",9.49,"Elena","Perez","Sanchez",139.6,54.7,"36422520L","087390643466"
"PT0003623",58,"Male",2017,6.6,2.5,2.7,0.3,5.1,"Colon","Stage 0",42200.18,6.9,3.83,0,0,"Barcelona","Spain",0,0,0,0,0,0,0,0,0,"Negative",3.23,"Javier","Garcia","Sanchez",139.1,102.8,"39448512Q","082168028979"
